1001,BIO F110,BIOLOGY LABORATORY,0  2  1,1,MEGHANA TARE (599),BIOSC,3219,M,1 2,,30/04  FN
,,,,2,Sandhya Marathe (144),BIOSC,3219,M,3 4,,
,,,,3,Bhagavatula Vani (904),BIOSC,3219,M,6 7,,
,,,,4,Leena Fageria (RS) (496),BIOSC,3219,M,8 9,,
,,,,5,Sudeshna M Choudhury (112),BIOSC,3219,T,1 2,,
,,,,6,Ankita Daiya (RS) (389),BIOSC,3219,T,3 4,,
,,,,7,Sumukh Thakar (RS) (1065),BIOSC,3219,T,6 7,,
,,,,8,Bhagavatula Vani (904),BIOSC,3219,T,8 9,,
,,,,9,Leena Fageria (RS) (496),BIOSC,3219,W,1 2,,
,,,,10,Aishwarya Singh (RS) (380),BIOSC,3219,W,3 4,,
,,,,11,Neelam Mahala (RS) (628),BIOSC,3219,W,6 7,,
,,,,12,Heena Saini (RS) (631),BIOSC,3219,W,8 9,,
,,,,13,Neelam Mahala (RS) (628),BIOSC,3219,Th,1 2,,
,,,,14,Heena Saini (RS) (631),BIOSC,3219,Th,3 4,,
,,,,15,Vikram Pareek (RS) (236),BIOSC,3219,Th,6 7,,
,,,,16,Aishwarya Singh (RS) (380),BIOSC,3219,Th,8 9,,
,,,,17,Sandhya Marathe (144),BIOSC,3219,F,1 2,,
,,,,18,Vikram Pareek (RS) (236),BIOSC,3219,F,3 4,,
,,,,19,Shilpi Garg (909),BIOSC,3219,S,3 4,,
,,,,20,Ankita Daiya (RS) (389),BIOSC,3219,F,8 9,,
,,,,21,Sudeshna M Choudhury (112),BIOSC,3219,S,1 2,,
,,,,22,Sumukh Thakar (RS) (1065),BIOSC,3219,F,6 7,,
1002,BIO F111,GENERAL BIOLOGY,3  0  3,1,MANOJ KANNAN (393),BIOSC,5102,M W F,2,,13/05  FN
,,,,,Pankaj Kumar Sharma (378),BIOSC,,,,,
,,,,,Syamantak Majumder (561),BIOSC,,,,,
,,,,2,Syamantak Majumder (561),BIOSC,5105,M W F,7,,
,,,,,Manoj Kannan (393),BIOSC,,,,,
,,,,,Pankaj Kumar Sharma (378),BIOSC,,,,,
,,Tutorial,,1,Pankaj Kumar Sharma (378),BIOSC,6103,T,7,,
,,,,2,Vishalakshi (RS) (613),BIOSC,6101,T,2,,
,,,,3,Uma S Dubey (605),BIOSC,6104,T,7,,
,,,,4,Syamantak Majumder (561),BIOSC,6109,F,1,,
,,,,5,Jola Dubey (148),BIOSC,6103,T,2,,
,,,,6,Vishal Saxena (568),BIOSC,6152,F,1,,
,,,,7,TBA (Biosc) (962),BIOSC,6103,Th,8,,
,,,,8,Uma S Dubey (605),BIOSC,6104,Th,8,,
,,,,9,Jola Dubey (148),BIOSC,6107,Th,8,,
,,,,10,Rajdeep Chowdhury (229),BIOSC,6105,T,2,,
,,,,11,Syamantak Majumder (561),BIOSC,6104,Th,4,,
,,,,12,Vishalakshi (RS) (613),BIOSC,6151,T,7,,
1423,BIO F215,BIOPHYSICS,3  0  3,1,SHIBASISH CHOWDHURY (815),BIOSC,6154,T Th S,4,,08/05  FN
,,,,,Navin Singh (397),PHY,,,,,
,,Tutorial,,1,Shibasish Chowdhury (815),BIOSC,6154,S,2,,
,,,,,Navin Singh (397),PHY,,,,,
1779,BIO F231,BIOLOGY PROJECT LAB,0  0  3,1,SHILPI GARG (909),BIOSC,2215,M,3,,10/05  FN
,,Practical,,1,Abhilasha Srivastava (RS) (609),BIOSC,3125,W F,7 8,,
,,,,,Poonam Singh (RS) (494),BIOSC,,,,,
,,,,,Shilpi Garg (909),BIOSC,,,,,
1424,BIO F241,ECOLOGY & ENVIRON SCI,3  0  3,1,BHAGAVATULA VANI (904),BIOSC,6153,M W F,3,,10/05  FN
,,Tutorial,,1,Bhagavatula Vani (904),BIOSC,6153,W,1,,
1430,BIO F242,INTRO TO BIOINFORMATICS,3  0  3,1,SHIBASISH CHOWDHURY (815),BIOSC,6161,M W F,2,,14/05  FN
,,Tutorial,,1,Shibasish Chowdhury (815),BIOSC,6161,T,2,,
1425,BIO F243,GENETICS,3  0  3,1,MANOJ KANNAN (393),BIOSC,6161,M W F,4,,01/05  FN
,,Tutorial,,1,Manoj Kannan (393),BIOSC,6161,F,1,,
1426,BIO F244,INSTRU METHODS OF ANAL,1  3  4,1,Pankaj Kumar Sharma (378),BIOSC,6160,S,2,,03/05  FN
,,Practical,,1,Pankaj Kumar Sharma (378),BIOSC,3155,T Th,1 2 3,,
,,,,,Uma S Dubey (605),BIOSC,,,,,
,,,,2,PRABHAT NATH JHA (353),BIOSC,3155,T Th,7 8 9,,
,,,,,P R Deepa (2067),BIOSC,,,,,
,,,,,Rajdeep Chowdhury (229),BIOSC,,,,,
1651,BIO F266,STUDY PROJECT,0  0  3,1,PRABHAT NATH JHA (353),BIOSC,,,,,
1454,BIO F314,CONSERVATION BIOLOGY,2  1  3,1,SANDHYA MARATHE (144),BIOSC,1219,T Th,3,,03/05  FN
,,Practical,,1,Sandhya Marathe (144),BIOSC,1219,W,2 3,,
2287,BIO F315,APPLIED   NUTRITION &,2  0  2,1,P R DEEPA (2067),BIOSC,1220,M W,7,,11/05  FN
,,,,,Sudeshna M Choudhury (112),BIOSC,,,,,
1431,BIO F341,DEVELOPMENTAL BIOLOGY,3  0  3,1,MEGHANA TARE (599),BIOSC,6153,T Th S,5,,13/05  FN
,,Tutorial,,1,Meghana Tare (599),BIOSC,6153,F,1,,
1432,BIO F342,IMMUNOLOGY,3  0  3,1,UMA S DUBEY (605),BIOSC,6153,M W F,5,,06/05  FN
,,,,,AK Das (275),BIOSC,,,,,
,,Tutorial,,1,AK Das (275),BIOSC,6153,S,1,,
,,,,,Uma S Dubey (605),BIOSC,,,,,
1650,BIO F366,LABORATORY PROJECT,0  0  3,1,PRABHAT NATH JHA (353),BIOSC,,,,,
1736,BIO F367,LABORATORY PROJECT,0  0  3,1,PRABHAT NATH JHA (353),BIOSC,,,,,
1685,BIO F376,DESIGN PROJECT,0  0  3,1,PRABHAT NATH JHA (353),BIOSC,,,,,
1752,BIO F377,DESIGN PROJECT,0  0  3,1,PRABHAT NATH JHA (353),BIOSC,,,,,
1618,BIO F411,LABORATORY,0  3  3,1,SHILPI GARG (909),BIOSC,3126,T Th,7 8 9,,
,,,,,Jitendra Panwar (14),BIOSC,,,,,
,,,,,Shibasish Chowdhury (815),BIOSC,,,,,
1434,BIO F418,GENETIC ENGINEERING TECH,1  3  4,1,PRABHAT NATH JHA (353),BIOSC,2216,M,8,,02/05  FN
,,Practical,,1,Prabhat Nath Jha (353),BIOSC,3122,T Th,1 2 3,,
,,,,,Nidhi Bub (RS) (3112),BIOSC,,,,,
1710,BIO F491,SPECIAL PROJECT,0  0  3,1,PRABHAT NATH JHA (353),BIOSC,,,,,
111,BIO G515,STEM CELL & REGENER BIO,3  1  4,1,RAJDEEP CHOWDHURY (229),BIOSC,1219,M W F,7,,11/05 AN
2123,BIO G544,BIOREMEDIATION &,0  0  5,1,SK VERMA (349),BIOSC,1219,M W F,4,,01/05  FN
,,,,,Suresh Gupta (656),CHE,,,,,
2124,BIO G545,MOL PARASIT & VECTOR BIO,0  0  5,1,VISHAL SAXENA (568),BIOSC,2215,T Th S,3,,03/05 AN
2168,BIO G561,ADV RECOMBINANT DNA TECH,3  2  5,1,AK DAS (275),BIOSC,6161,M W F,9,,09/05 AN
203,BIO G642,EXPERIMENTAL TECHNIQUES,0  0  5,1,SUDESHNA M CHOUDHURY (112),BIOSC,1219,T,2,,09/05 AN
,,,,,Syamantak Majumder (561),BIOSC,,,,,
,,Practical,,1,Syamantak Majumder (561),BIOSC,3122,T Th,7 8 9 10,,
,,,,,Astha Mittal (RS) (356),BIOSC,,,,,
,,,,,Saumya Arora (RS) (1055),BIOSC,,,,,
,,,,,Sudeshna M Choudhury (112),BIOSC,,,,,
956,BIO G643,PLANT BIOTECHNOLOGY,3  2  5,1,JITENDRA PANWAR (14),BIOSC,1219,T Th S,4,,08/05 AN
,,,,,Bhagavatula Vani (904),BIOSC,,,,,
,,Practical,,1,Monika Paul (RS) (319),BIOSC,3122,S,1 2,,
,,,,,Bhagavatula Vani (904),BIOSC,,,,,
1374,BIOT F416,INTRO TO PHARMA BIOTECH,3  0  3,1,VISHAL SAXENA (568),BIOSC,6162,M W F,9,,04/05  FN
,,,,,Aniruddha Roy (128),PHA,,,,,
549,BITS C790T,INDEPENDENT STUDY,0  0  2,1,JITENDRA PANWAR (14),BIOSC,,,,,
596,BITS C791T,TEACHING PRACTICE I,0  0  1,1,JITENDRA PANWAR (14),BIOSC,,,,,
602,BITS C792T,TEACHING PRACTICE II,0  0  1,1,JITENDRA PANWAR (14),BIOSC,,,,,
520,BITS C797T,PHD SEMINAR,0  0  2,1,JITENDRA PANWAR (14),BIOSC,,,,,
553,BITS C799T,PHD THESIS,0  0 40,1,JITENDRA PANWAR (14),BIOSC,,,,,
857,BITS E793T,PRACTICE LECT SERIES I,0  0  1,1,JITENDRA PANWAR (14),BIOSC,,,,,
858,BITS E794T,PRACTICE LECT SERIES II,0  0  1,1,JITENDRA PANWAR (14),BIOSC,,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1  2  2,1,RAVINDER KUMAR (505),ME,5105,T,9,,03/05 AN
,,,,,Shuvendu N Patel (253),CE,,,,,
,,Practical,,1,Makrand Waghle (RS) (371),CE,6118,M F,1 2,,
,,,,,Amresh Kumar (RS) (95),ME,,,,,
,,,,2,Harish Kumar Mulchandani (RS) (514,CE,6118,M F,3 4,,
,,,,,Anuj Dixit (RS) (510),ME,,,,,
,,,,3,Rajesh Kumar (46),CE,6118,T Th,1 2,,
,,,,,Nitesh Sihag (RS) (340),ME,,,,,
,,,,4,Vidhi Vyas (RS) (72),CE,6118,T Th,3 4,,
,,,,,Santosh Kumar Saini (RS) (604),ME,,,,,
,,,,5,Kamlesh Kumar (828),CE,6118,T Th,7 8,,
,,,,,Shailendra Singh (RS) (646),ME,,,,,
,,,,6,Vasanth Keshav (RS) (56),CE,6118,W S,1 2,,
,,,,,TBA (Me) (972),ME,,,,,
,,,,7,Vishal Singh (RS) (680),CE,6114,T S,1 2,,
,,,,,TBA (Me) (972),ME,,,,,
,,,,8,V Sudhir (RS) (81),CE,6117,M F,2 3,,
,,,,,TBA (Me) (972),ME,,,,,
,,,,9,Somya Agarwal (RS) (579),CE,6116,M F,2 3,,
,,,,,TBA (Me) (972),ME,,,,,
1005,BITS F112,TECH REPORT WRITING,2  0  2,1,DEVIKA (472),HSS,6155,M W,3,,06/05  FN
,,,,2,Gajendra S Chauhan (16),HSS,6102,T Th,2,,
,,,,3,Sushila Shekhawat (590),HSS,6101,T Th,7,,
,,,,4,Virendra Singh Nirban (725),HSS,6102,T Th,8,,
,,,,5,Sangeeta Sharma (615),HSS,6102,T Th,9,,
1860,BITS F114,GENERAL MATHEMATICS II,3  0  3,1,SURESH KUMAR (28),MATH,2216,M W F,4,,01/05  FN
,,Tutorial,,1,Suresh Kumar (28),MATH,2216,Th,7,,
1892,BITS F214,SCIENCETECH & MODERNITY,3  0  3,1,SUNITA RAINA (331),HSS,6105,T Th S,3,,03/05  FN
1632,BITS F225,ENVIRONMENTAL STUDIES,3  0  3,1,PANKAJ KUMAR SHARMA (378),BIOSC,5102,M W F,10,,09/05  FN
,,,,,Arvind Kumar Sharma (864),CHE,,,,,
,,,,,Nishant Roy (241),CE,,,,,
,,,,,Pankaj Kumar Sharma (378),BIOSC,,,,,
,,,,,Sailaja Nandigama (370),HSS,,,,,
,,,,,Sandhya Marathe (144),BIOSC,,,,,
,,,,,Smita Raghuvanshi (711),CHE,,,,,
1332,BITS F311,IMAGE PROCESSING,3  0  3,1,RAJ KUMAR GUPTA (941),PHY,2215,T Th S,2,,14/05  FN
1334,BITS F312,NEURAL NET & FUZZY LOGIC,3  0  3,1,SUREKHA BHANOT (526),EEE/INS,6105,M W F,3,,10/05  FN
,,,,,Bijoy K Mukharjee (184),EEE/INS,,,,,
1511,BITS F316,NONLINEAR DYNA & CHAOS,3  0  3,1,TAPOMOY G SARKAR (109),PHY,6153,M W F,7,,11/05  FN
1790,BITS F381,TIC PROJECTS,0  0  3,1,ANU GUPTA (44),EEE/INS,,,,,
1791,BITS F382,READING COURSE,0  0  3,1,SURESH GUPTA (656),CHE,,,,,
1792,BITS F383,TIC PROJECTS,0  0  3,1,ANU GUPTA (44),EEE/INS,,,,,
1592,BITS F412,PRACTICE SCHOOL II,0  0 20,1,S GURUNARAYANAN (928),EEE/INS,,,,,
1615,BITS F413,PRACTICE SCHOOL II,0  0 20,1,S GURUNARAYANAN (928),EEE/INS,,,,,
1593,BITS F421T,THESIS,0  0 16,1,SURESH GUPTA (656),CHE,,,,,
1616,BITS F422T,THESIS,0  0 16,1,SURESH GUPTA (656),CHE,,,,,
1617,BITS F423T,THESIS,0  0  9,1,SURESH GUPTA (656),CHE,,,,,
1619,BITS F424T,THESIS,0  0  9,1,SURESH GUPTA (656),CHE,,,,,
1899,BITS F429,NANOTECH FOR RENEW ENRGY &,3  1  4,1,KRISHNA CHAITANYA ETIKA (75),CHE,6101,M W F,7,,11/05  FN
,,,,,Banasri Roy (170),CHE,,,,,
1811,BITS F441,ROBOTICS,3  0  3,1,BIJOY KUMAR RAUT (293),ME,2215,M W F,8,,02/05  FN
1817,BITS F447,MULTIMEDIA COMPUTING,3  0  3,1,MUKESH KR ROHIL (106),CS/IS,6160,M W F,8,,02/05  FN
1820,BITS F449,FINANCIAL ENGINEERING,3  0  3,1,UDAYAN CHANDA (147),MGTS,6162,M W F,8,,02/05  FN
1338,BITS F463,CRYPTOGRAPHY,3  0  3,1,ABHISHEK MISHRA (60),CS/IS,6162,T Th S,3,,03/05  FN
,,,,,Ashutosh Bhatia (279),CS/IS,,,,,
1339,BITS F464,MACHINE LEARNING,3  0  3,1,NAVNEET GOYAL (93),CS/IS,6151,T Th S,3,,03/05  FN
,,,,,Kamlesh Tiwari (208),CS/IS,,,,,
,,Practical,,1,Kamlesh Tiwari (208),CS/IS,6116,T,1,,
,,,,2,Kamlesh Tiwari (208),CS/IS,6114,W,1,,
1641,BITS F482,CREAT & LEAD ENTREP ORGN,3  0  3,1,JYOTI (562),MGTS,6156,M W F,8,,01/05 AN
1852,BITS F490,PROJECT MANAGEMENT,0  0  4,1,ANIL K BHATT (799),MGTS,6159,T Th S,3,,13/05 AN
,,,,,Udayan Chanda (147),MGTS,,,,,
499,BITS G511,ADVANCED PROJECTS,0  0  5,1,JITENDRA PANWAR (14),BIOSC,,,,,
547,BITS G513,STUDY IN ADVANCED TOPICS,0  0  5,1,JITENDRA PANWAR (14),BIOSC,,,,,
2259,BITS G516,INTRO TO BUSINESS,3  0  3,1,PRAVEEN GOYAL (156),MGTS,6160,M W F,9,,09/05 AN
754,BITS G529,RESEARCH PROJECT I,0  0  6,1,JITENDRA PANWAR (14),BIOSC,,,,,
755,BITS G539,RESEARCH PROJECT II,0  0  6,1,JITENDRA PANWAR (14),BIOSC,,,,,
2003,BITS G540,RESEARCH PRACTICE,0  0  4,1,JITENDRA PANWAR (14),BIOSC,,,,,
559,BITS G560,PRACTICE SCHOOL,0  0 20,1,S GURUNARAYANAN (928),EEE/INS,,,,,
575,BITS G561T,DISSERTATION,0  0 16,1,JITENDRA PANWAR (14),BIOSC,,,,,
2164,BITS G562T,DISSERTATION,0  0 16,1,JITENDRA PANWAR (14),BIOSC,,,,,
2165,BITS G563T,DISSERTATION,0  0 16,1,JITENDRA PANWAR (14),BIOSC,,,,,
756,BITS G629T,DISSERTATION,0  0 25,1,JITENDRA PANWAR (14),BIOSC,,,,,
